id,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_cp,beta_tcc,beta_TNSR,beta_TEM,beta_RH,se_Intercept,se_cp,se_tcc,se_TNSR,se_TEM,se_850RH,t_Intercept,t_cp,t_tcc,t_TNSR,t_TEM,t_RH,p_Intercept,p_cp,p_tcc,p_TNSR,p_TEM,p_RH,sumW_Intercept,sumW_cp,sumW_tcc,sumW_TNSR,sumW_TEM,sumW_RH
484,1218140.468,3175667.899,0.626730963,0.325855042,0.806400823,-0.17966986,0.576981221,0.672066764,0.007472482,-0.059807571,0.068973366,0.032055509,-0.044711791,0.065132871,0.035979876,0.113884709,0.066569923,0.060117733,0.192609052,10.31839617,0.207685054,-0.525158925,1.036104034,0.5332122,-0.232137538,8.98E-24,0.835517819,0.5995909,0.300407901,0.594006981,0.816479409,14.99500284,14.99500284,14.99500284,14.99500284,57.39360449,14.99500284
485,1246440.468,3175667.899,0.495808181,0.305559262,0.698241563,-0.202433383,0.544061093,0.671971433,0.003260455,-0.069516833,0.063934877,0.030920552,-0.147099244,0.065068232,0.035434844,0.111562295,0.066935117,0.060091907,0.19795259,10.32718139,0.092012675,-0.623121214,0.955176884,0.514554338,-0.743103407,8.27E-24,0.926706679,0.533349116,0.339722609,0.606979911,0.457596269,14.16640307,14.16640307,14.16640307,14.16640307,52.68956094,14.16640307
486,397440.4683,3147367.899,-0.158420379,0.167843486,-0.526262161,0.367841782,0.882090101,-0.840238084,-0.170780379,-0.360148261,-0.36636887,-0.481958699,-0.195292395,0.056946685,0.106669603,0.113920046,0.124619857,0.045409548,0.13208049,-14.75481993,-1.601021979,-3.161412516,-2.939891602,-10.61359836,-1.478586235,1.16E-44,0.109692696,0.001618028,0.003359969,5.43E-25,0.139570634,15.83728088,15.30400266,15.83728088,15.83728088,53.60022333,15.30400266
487,425740.4683,3147367.899,-0.865425426,-0.616260341,-0.585738415,-0.27968701,0.872673418,-0.847514292,-0.174026275,-0.361265832,-0.365799412,-0.479424358,-0.20285331,0.055686912,0.110254169,0.114401591,0.124630219,0.045235929,0.13316553,-15.21927256,-1.578409922,-3.1578742,-2.935077991,-10.59830908,-1.523316957,3.90E-47,0.114792537,0.001637593,0.00341207,6.29E-25,0.128000398,16.39750282,16.39750282,19.83840325,16.39750282,59.69430999,16.39750282
488,454040.4683,3147367.899,-0.845539493,-0.877586325,-0.758602912,-0.086936581,0.852067834,-0.8577261,-0.16398328,-0.365060094,-0.365524182,-0.476794737,-0.210245686,0.055223492,0.11557792,0.11497947,0.124854133,0.045004582,0.134307098,-15.53190617,-1.418811484,-3.175002408,-2.927609801,-10.59435979,-1.565410085,7.95E-49,0.156270317,0.001544866,0.003494363,6.53E-25,0.117807977,16.62976069,16.62976069,16.62976069,16.62976069,59.80914419,16.62976069
489,482340.4683,3147367.899,-0.730848137,-0.382704161,-0.664652063,-0.066196074,0.817018746,-0.876470701,-0.133423362,-0.3678167,-0.364208385,-0.471301432,-0.21642276,0.056722472,0.138102647,0.115172128,0.125168223,0.044622733,0.137296837,-15.45191295,-0.966117343,-3.193625971,-2.909751173,-10.56191318,-1.576312791,2.16E-48,0.334222606,0.001449556,0.003698533,8.92E-25,0.11527483,16.64062819,13.56213281,16.64062819,16.64062819,64.09999465,13.56213281
490,510640.4683,3147367.899,-0.845357403,-0.671624595,-0.712615694,-0.132741709,0.74637073,-0.897928581,0.046080356,-0.370673284,-0.361415299,-0.46366975,-0.205560727,0.060228599,0.130998499,0.114727475,0.125444234,0.044148753,0.139971056,-14.9086745,0.351762474,-3.230902473,-2.881083387,-10.50244273,-1.468594525,1.78E-45,0.72509164,0.001274885,0.004049087,1.57E-24,0.14226207,16.78125329,13.61538732,16.78125329,16.78125329,63.28974768,13.61538732
491,538940.4683,3147367.899,-0.911697485,-0.7672835,-0.820227628,-0.091469857,0.664269499,-0.909885354,0.142042557,-0.377780843,-0.350629441,-0.451774351,-0.208265421,0.063984617,0.115231538,0.113183062,0.12504469,0.043602278,0.141655532,-14.22037675,1.232670843,-3.337786031,-2.804033022,-10.36125571,-1.470224411,7.05E-42,0.21799272,0.000876096,0.005145966,6.00E-24,0.141820329,16.78125329,13.61538732,16.78125329,16.78125329,61.41089776,13.61538732
492,567240.4683,3147367.899,-1.028789889,-0.814839912,-0.947979156,-0.080810733,0.643170673,-0.910611261,0.067594166,-0.405572326,-0.304842634,-0.434841349,-0.115320804,0.065276026,0.110792203,0.107932972,0.120740613,0.0429508,0.120216175,-13.950164,0.610098585,-3.757631431,-2.524772942,-10.12417346,-0.959278606,1.70E-40,0.541937227,0.000181605,0.011733381,5.50E-23,0.337653812,16.78125329,13.61538732,16.78125329,16.78125329,59.9521741,13.61538732
493,595540.4683,3147367.899,-0.743912043,-0.392189898,-1.112769955,0.368857912,0.684888198,-0.893010172,0.006721985,-0.439412408,-0.226713018,-0.409052266,0.104454775,0.062398821,0.106202184,0.093793957,0.104766839,0.042427852,0.119598186,-14.31133078,0.063294228,-4.684869059,-2.163976891,-9.641126033,0.873380929,2.39E-42,0.949545054,3.19E-06,0.030705904,4.42E-21,0.382668351,16.78125329,13.61538732,16.78125329,16.78125329,53.42507233,13.61538732
